Feature,Importance
S000,0.12267662590358366
meidan_housing_value,0.10792522135125096
pop_density,0.10159346936163363
own_rate,0.09693922938521801
SI01_Pct,0.08188582996699291
SE03_Pct,0.07815233742625746
SA01_Pct,0.06490052444377972
SA03_Pct,0.0576489131537329
SI03_Pct,0.05603637230642229
SE02_Pct,0.04962405503718929
SE01_Pct,0.04628776805973777
SA02_Pct,0.04616841972834056
SI02_Pct,0.042303245043091596
Borough_Staten Island,0.014788247409316807
Borough_Manhattan,0.00872195232418976
Borough_Brooklyn,0.007242950513545582
Borough_Bronx,0.007007196316156913
Borough_Queens,0.006851334282208331
Borough_Jersey City,0.0032463079873518547
