h_geocode_ct,S000,SA01_Pct,SA02_Pct,SA03_Pct,SE01_Pct,SE02_Pct,SE03_Pct,SI01_Pct,SI02_Pct,SI03_Pct
36061015802,1540,0.24415584415584415,0.6123376623376623,0.1435064935064935,0.06363636363636363,0.12727272727272726,0.8090909090909091,0.025324675324675326,0.09025974025974026,0.8844155844155844
36061015900,3120,0.15929487179487178,0.5778846153846153,0.26282051282051283,0.075,0.08653846153846154,0.8384615384615385,0.01987179487179487,0.08846153846153847,0.8916666666666667
36061016001,1141,0.16213847502191062,0.48466257668711654,0.3531989482909728,0.05346187554776512,0.07800175284837861,0.8685363716038562,0.02716914986853637,0.07186678352322524,0.9009640666082384
36061016002,1142,0.23029772329246936,0.521891418563923,0.2478108581436077,0.06830122591943957,0.14623467600700527,0.7854640980735552,0.023642732049036778,0.11208406304728546,0.8642732049036778
36061016100,2453,0.2062780269058296,0.5915205870362821,0.2022013860578883,0.06400326131267835,0.09172441907867916,0.8442723196086425,0.019160211985324093,0.08846310640032613,0.8923766816143498
36061016200,2465,0.22880324543610547,0.5196754563894523,0.2515212981744422,0.1286004056795132,0.32535496957403653,0.5460446247464503,0.028803245436105476,0.14279918864097363,0.8283975659229209
36061016300,2234,0.15264100268576544,0.5796777081468218,0.26768128916741274,0.07251566696508505,0.09176365264100268,0.8357206803939122,0.019695613249776187,0.0792300805729633,0.9010743061772605
36061016400,1999,0.21860930465232617,0.5942971485742872,0.1870935467733867,0.1360680340170085,0.3036518259129565,0.560280140070035,0.029014507253626812,0.14757378689344672,0.8234117058529264
36061016500,2225,0.15865168539325844,0.5815730337078652,0.2597752808988764,0.06831460674157304,0.08764044943820225,0.8440449438202248,0.023820224719101123,0.0701123595505618,0.9060674157303371
36061016600,2062,0.2507274490785645,0.5586808923375364,0.19059165858389912,0.10911736178467507,0.2672162948593598,0.623666343355965,0.02521823472356935,0.12269641125121242,0.8520853540252182
36061016700,2213,0.15634884771802982,0.5661997288748305,0.27745142340713963,0.08450067781292363,0.08314505196565748,0.8323542702214188,0.01807501129688206,0.0894713059195662,0.8924536827835517
36061016800,1327,0.21100226073850792,0.5659382064807837,0.22305953278070836,0.10550113036925396,0.29691032403918616,0.5975885455915599,0.02562170308967596,0.14091936699321778,0.8334589299171062
36061016900,2841,0.1883139739528335,0.5828933474128828,0.2287926786342837,0.08166138683562126,0.10102076733544527,0.8173178458289335,0.01900739176346357,0.08764519535374868,0.8933474128827877
36061017000,2245,0.21158129175946547,0.5643652561247215,0.22405345211581293,0.11848552338530066,0.28017817371937637,0.6013363028953229,0.030734966592427616,0.12026726057906459,0.8489977728285077
36061017100,2923,0.16182004789599727,0.5538829969209716,0.2842969551830311,0.07902839548409168,0.09408142319534725,0.826890181320561,0.019500513171399246,0.07047553882996921,0.9100239479986315
36061017200,1469,0.2498298162014976,0.5976855003403676,0.1524846834581348,0.11436351259360109,0.3117767188563649,0.5738597685500341,0.03607896528250511,0.14363512593601088,0.820285908781484
36061017300,2835,0.17742504409171075,0.581657848324515,0.24091710758377424,0.07089947089947089,0.10617283950617284,0.8229276895943562,0.014462081128747795,0.07971781305114639,0.9058201058201059
36061017401,1477,0.1983750846310088,0.5619498984427894,0.23967501692620177,0.0961408259986459,0.2863913337846987,0.6174678402166554,0.03926878808395396,0.12457684495599188,0.8361543669600542
36061017402,903,0.1893687707641196,0.6112956810631229,0.19933554817275748,0.10077519379844961,0.22148394241417496,0.6777408637873754,0.031007751937984496,0.11960132890365449,0.8493909191583611
36061017500,2896,0.1598756906077348,0.5462707182320442,0.293853591160221,0.0694060773480663,0.08390883977900553,0.8466850828729282,0.025552486187845305,0.09081491712707182,0.8836325966850829
36061017700,2737,0.14212641578370477,0.5604676653270003,0.29740591888929485,0.08001461454146876,0.13810741687979539,0.7818779685787358,0.018633540372670808,0.08878333942272561,0.8925831202046036
36061017800,1253,0.20909816440542697,0.6041500399042299,0.18675179569034317,0.12051077414205906,0.25139664804469275,0.6280925778132482,0.03192338387869114,0.13966480446927373,0.8284118116520351
36061017900,2884,0.17406380027739252,0.5312066574202496,0.2947295423023578,0.08148404993065188,0.10263522884882108,0.815880721220527,0.015256588072122053,0.08356449375866852,0.9011789181692095
36061018000,2004,0.24850299401197604,0.5713572854291418,0.18013972055888225,0.1187624750499002,0.3198602794411178,0.561377245508982,0.04890219560878244,0.13922155688622753,0.81187624750499
36061018100,2826,0.14720452937013448,0.5753715498938429,0.2774239207360226,0.06050955414012739,0.10438782731776362,0.835102618542109,0.01875442321302194,0.07855626326963906,0.9026893135173389
36061018200,1917,0.23735002608242045,0.575378195096505,0.1872717788210746,0.1298904538341158,0.3541992696922274,0.5159102764736567,0.03129890453834116,0.16379760041731872,0.8049034950443401
36061018300,2756,0.20391872278664733,0.5192307692307693,0.2768505079825834,0.08309143686502177,0.11502177068214804,0.8018867924528302,0.017779390420899856,0.07293178519593614,0.909288824383164
36061018400,2234,0.18531781557743957,0.6145926589077887,0.20008952551477172,0.10608773500447627,0.2837958818263205,0.6101163831692032,0.03222918531781558,0.14368845120859444,0.82408236347359
36061018500,1783,0.16713404374649468,0.6180594503645541,0.2148065058889512,0.0628154795288839,0.09702748177229388,0.8401570386988222,0.01962983735277622,0.06842400448681997,0.9119461581604038
36061018600,1387,0.2191780821917808,0.5638067772170151,0.21701514059120403,0.14563806777217014,0.3049747656813266,0.5493871665465032,0.02595529920692141,0.167267483777938,0.8067772170151406
36061018700,2693,0.16115855922762717,0.5462309691793539,0.29261047159301895,0.08986260675826216,0.12365391756405496,0.7864834756776828,0.01708132194578537,0.0902339398440401,0.8926847382101746
36061018800,1557,0.23699421965317918,0.5639049454078355,0.19910083493898523,0.12845215157353887,0.2947976878612717,0.5767501605651895,0.04046242774566474,0.15606936416184972,0.8034682080924855
36061018900,2990,0.21672240802675585,0.539799331103679,0.24347826086956523,0.11103678929765887,0.237123745819398,0.6518394648829432,0.021070234113712373,0.1060200668896321,0.8729096989966555
36061019000,1305,0.13256704980842912,0.6153256704980843,0.25210727969348656,0.09042145593869731,0.19616858237547893,0.7134099616858237,0.03065134099616858,0.11340996168582375,0.8559386973180076
