w_geocode_ct,S000,SA01_Pct,SA02_Pct,SA03_Pct,SE01_Pct,SE02_Pct,SE03_Pct,SI01_Pct,SI02_Pct,SI03_Pct
36081079200,282,0.08865248226950355,0.5141843971631206,0.3971631205673759,0.11347517730496454,0.4219858156028369,0.4645390070921986,0.010638297872340425,0.20567375886524822,0.7836879432624113
36081079300,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
36081079701,295,0.12542372881355932,0.5898305084745763,0.2847457627118644,0.15932203389830507,0.3525423728813559,0.488135593220339,0.03728813559322034,0.10847457627118644,0.8542372881355932
36081079702,454,0.17180616740088106,0.6035242290748899,0.22466960352422907,0.31938325991189426,0.460352422907489,0.22026431718061673,0.2422907488986784,0.13876651982378854,0.6189427312775331
36081079900,3704,0.15658747300215983,0.6117710583153347,0.2316414686825054,0.03941684665226782,0.12526997840172785,0.8353131749460043,0.00458963282937365,0.03833693304535637,0.95707343412527
36081080301,424,0.13443396226415094,0.5990566037735849,0.2665094339622642,0.19339622641509435,0.35377358490566035,0.4528301886792453,0.08726415094339622,0.19103773584905662,0.7216981132075472
36081080302,128,0.1640625,0.6953125,0.140625,0.2421875,0.4609375,0.296875,0.21875,0.4296875,0.3515625
36081080900,1419,0.226215644820296,0.5630725863284003,0.21071176885130374,0.14869626497533475,0.18745595489781536,0.6638477801268499,0.005637773079633545,0.041578576462297394,0.952783650458069
36081081400,101,0.19801980198019803,0.5643564356435643,0.2376237623762376,0.16831683168316833,0.46534653465346537,0.36633663366336633,0.12871287128712872,0.2871287128712871,0.5841584158415841
36081081800,243,0.23045267489711935,0.5761316872427984,0.1934156378600823,0.12345679012345678,0.5637860082304527,0.31275720164609055,0.06584362139917696,0.13580246913580246,0.7983539094650206
36081083700,207,0.15942028985507245,0.5362318840579711,0.30434782608695654,0.2608695652173913,0.4106280193236715,0.3285024154589372,0.20772946859903382,0.2028985507246377,0.5893719806763285
36081083800,136,0.3088235294117647,0.5147058823529411,0.17647058823529413,0.23529411764705882,0.3602941176470588,0.40441176470588236,0.3602941176470588,0.34558823529411764,0.29411764705882354
36081084000,872,0.16169724770642202,0.5481651376146789,0.2901376146788991,0.15940366972477063,0.4426605504587156,0.39793577981651373,0.051605504587155966,0.12270642201834862,0.8256880733944955
36081084500,722,0.12188365650969529,0.5664819944598338,0.31163434903047094,0.1481994459833795,0.2867036011080332,0.5650969529085873,0.01662049861495845,0.11772853185595568,0.8656509695290858
36081084601,47,0.10638297872340426,0.5319148936170213,0.3617021276595745,0.06382978723404255,0.44680851063829785,0.48936170212765956,0.3617021276595745,0.19148936170212766,0.44680851063829785
36081084602,1170,0.1188034188034188,0.6307692307692307,0.2504273504273504,0.037606837606837605,0.26666666666666666,0.6957264957264957,0.0017094017094017094,0.03162393162393162,0.9666666666666667
36081084901,933,0.17470525187566988,0.5423365487674169,0.2829581993569132,0.21221864951768488,0.5037513397642015,0.2840300107181136,0.32261521972132906,0.5187566988210075,0.15862808145766344
36081084902,4516,0.12356067316209035,0.5438441098317095,0.33259521700620015,0.2812223206377325,0.5952170062001771,0.12356067316209035,0.006421612046058458,0.05093002657218778,0.9426483613817538
36081085300,2957,0.19682110246871828,0.5962123774095367,0.20696652012174502,0.18938112952316538,0.3892458572877917,0.42137301318904297,0.01758539059857964,0.21203922894825836,0.770375380453162
36081085500,369,0.13279132791327913,0.6178861788617886,0.24932249322493225,0.0921409214092141,0.2926829268292683,0.6151761517615176,0.02981029810298103,0.17344173441734417,0.7967479674796748
36081085700,248,0.1935483870967742,0.5,0.3064516129032258,0.2903225806451613,0.4153225806451613,0.29435483870967744,0.028225806451612902,0.18951612903225806,0.782258064516129
36081085900,309,0.24919093851132687,0.49514563106796117,0.255663430420712,0.284789644012945,0.40129449838187703,0.313915857605178,0.1262135922330097,0.2459546925566343,0.627831715210356
36081086100,86,0.23255813953488372,0.4418604651162791,0.32558139534883723,0.27906976744186046,0.47674418604651164,0.2441860465116279,0.03488372093023256,0.08139534883720931,0.8837209302325582
36081086300,433,0.09699769053117784,0.625866050808314,0.27713625866050806,0.16166281755196305,0.29330254041570436,0.5450346420323325,0.03464203233256351,0.06697459584295612,0.8983833718244804
36081086400,1404,0.17165242165242164,0.5142450142450142,0.3141025641025641,0.07905982905982906,0.23646723646723647,0.6844729344729344,0.011396011396011397,0.2720797720797721,0.7165242165242165
36081086500,932,0.16630901287553648,0.5858369098712446,0.2478540772532189,0.15021459227467812,0.2982832618025751,0.5515021459227468,0.013948497854077254,0.09871244635193133,0.8873390557939914
36081086900,3073,0.16368369671330946,0.5828180930686625,0.253498210218028,0.24666449723397332,0.4809632281158477,0.272372274650179,0.14057923852912463,0.2564269443540514,0.602993817116824
36081087100,8884,0.2215218370103557,0.5471634398919406,0.23131472309770373,0.2309770373705538,0.5144079243583971,0.2546150382710491,0.024988743809095004,0.17480864475461505,0.80020261143629
36081088400,623,0.2825040128410915,0.49759229534510435,0.21990369181380418,0.1476725521669342,0.3146067415730337,0.5377207062600321,0.22792937399678972,0.22792937399678972,0.5441412520064205
36081088902,6835,0.03013899049012436,0.5119239209948793,0.4579370885149963,0.303730797366496,0.6152158010241404,0.08105340160936357,0.0026335040234089246,0.008339429407461595,0.9890270665691295
36081088903,1333,0.14628657164291073,0.5581395348837209,0.2955738934733683,0.09752438109527382,0.2558139534883721,0.6466616654163541,0.006001500375093774,0.0555138784696174,0.9384846211552889
36081089201,1501,0.2911392405063291,0.4643570952698201,0.24450366422385075,0.22185209860093272,0.41972018654230514,0.35842771485676217,0.04197201865423051,0.13391072618254496,0.8241172551632245
36081090700,6149,0.13172873637989918,0.6163603838022442,0.25191087981785654,0.059033989266547404,0.16230281346560416,0.7786631972678484,0.18084241340055293,0.28736379899170594,0.5317937876077411
36081091603,290,0.21379310344827587,0.46551724137931033,0.32068965517241377,0.14482758620689656,0.32413793103448274,0.5310344827586206,0.28620689655172415,0.12758620689655173,0.5862068965517241
36081091604,17,0.058823529411764705,0.29411764705882354,0.6470588235294118,0.11764705882352941,0.29411764705882354,0.5882352941176471,0.0,0.0,1.0
36081091800,11,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,1.0
